iteration,storage,timestep,charge,discharge
73,battery,1,4.000000001785373,4.000000001783899
73,battery,2,4.0000000000493925,4.000000000049409
74,battery,1,9.999999999999996,3.3245158746014586e-15
74,battery,2,1.718940440115614e-12,9.99999999999828
75,battery,1,4.000000001890259,4.000000001888706
75,battery,2,4.000000000041613,4.000000000041647
76,battery,1,9.999999999999996,4.005530715820801e-15
76,battery,2,1.8434585006945795e-12,9.999999999998165
77,battery,1,4.000000002005959,4.000000002004314
77,battery,2,4.000000000031937,4.000000000031982
78,battery,1,9.999999999999995,4.874887288000387e-15
78,battery,2,1.99243765349997e-12,9.999999999998025
79,battery,1,4.000000001922509,4.000000001920955
79,battery,2,4.000000000022491,4.000000000022536
80,battery,1,9.999999999999995,6.0681078910779795e-15
80,battery,2,2.182576281059661e-12,9.999999999997842
81,battery,1,4.000000001727686,4.000000001726319
81,battery,2,4.000000000016,4.000000000016037
82,battery,1,9.999999999999993,7.72203378318898e-15
82,battery,2,2.396556299641332e-12,9.999999999997636
83,battery,1,4.00000000156178,4.000000001560552
83,battery,2,4.000000000011411,4.000000000011442
84,battery,1,9.99999999999998,2.004841002294343e-14
84,battery,2,2.66700066975721e-12,9.999999999997158
85,battery,1,4.000000001428083,4.000000001426953
85,battery,2,4.000000000008368,4.000000000008393
86,battery,1,9.999999999999947,5.225863866628068e-14
86,battery,2,5.053648225477994e-12,9.999999999994628
87,battery,1,4.0000000013127135,4.000000001311658
87,battery,2,4.000000000005953,4.000000000005973
88,battery,1,9.999999999999874,1.2510002287202775e-13
88,battery,2,9.301193443191087e-12,9.999999999990132
89,battery,1,4.000000001232588,4.000000001231582
89,battery,2,4.0000000000034825,4.0000000000034985
90,battery,1,9.999999999999726,2.7210246071176257e-13
90,battery,2,1.6426817002153545e-11,9.999999999982599
91,battery,1,4.000000001170862,4.000000001169887
91,battery,2,4.0000000000004645,4.000000000000477
92,battery,1,10.0,5.310870529011246e-16
92,battery,2,2.7286405599698838e-14,9.999999999999972
93,battery,1,4.000000001112444,4.000000001111491
93,battery,2,3.9999999999980913,3.9999999999981
94,battery,1,9.999999999999998,9.535245484851249e-16
94,battery,2,4.278360805862456e-14,9.999999999999956
95,battery,1,4.000000001066994,4.000000001066054
95,battery,2,3.999999999995226,3.999999999995232
96,battery,1,9.999999999999995,5.2739782992097815e-15
96,battery,2,1.647628403123618e-13,9.999999999999819
