iteration,generator,timestep,generation
70,pv,2,79.99999999998383
71,pv,1,79.99999998445583
71,pv,2,79.99999999998383
72,pv,1,1.6145766376657922e-12
72,pv,2,79.99999999998533
73,pv,1,79.99999997291525
73,pv,2,79.99999999997812
74,pv,1,1.6445882523524768e-15
74,pv,2,79.99999999999999
75,pv,1,79.99999999996756
75,pv,2,79.99999999999999
76,pv,1,1.682916732935543e-15
76,pv,2,79.99999999999999
77,pv,1,79.99999999997482
77,pv,2,79.99999999999997
78,pv,1,1.73211735878848e-15
78,pv,2,79.99999999999999
79,pv,1,79.99999999995738
79,pv,2,79.99999999999996
80,pv,1,2.015826224804918e-15
80,pv,2,79.99999999999999
81,pv,1,79.99999999993179
81,pv,2,79.99999999999991
82,pv,1,2.4640471286540313e-15
82,pv,2,79.99999999999999
83,pv,1,79.99999999989939
83,pv,2,79.99999999999987
84,pv,1,3.0498875858813888e-15
84,pv,2,79.99999999999999
85,pv,1,79.9999999998583
85,pv,2,79.99999999999982
86,pv,1,3.835368654729699e-15
86,pv,2,79.99999999999999
87,pv,1,79.9999999998078
87,pv,2,79.99999999999973
88,pv,1,4.682686774815314e-15
88,pv,2,79.99999999999997
89,pv,1,79.999999999749
89,pv,2,79.99999999999963
90,pv,1,6.0201055458082495e-15
90,pv,2,79.99999999999997
91,pv,1,79.99999999968352
91,pv,2,79.99999999999952
92,pv,1,7.631205779284278e-15
92,pv,2,79.99999999999996
93,pv,1,79.9999999996214
93,pv,2,79.99999999999937
94,pv,1,9.549549563389432e-15
94,pv,2,79.99999999999996
95,pv,1,79.99999999949952
95,pv,2,79.99999999999837
96,pv,1,1.1791261022246496e-14
96,pv,2,79.99999999999994
97,pv,1,79.99999999937853
97,pv,2,79.9999999999956
98,pv,1,1.4365711159475883e-14
98,pv,2,79.99999999999994
99,pv,1,79.99999999999923
99,pv,2,79.99999999999999
100,pv,1,1.727333553617982e-14
100,pv,2,79.99999999999993
101,pv,1,79.99999999999655
101,pv,2,79.99999999999969
102,pv,1,2.0506326337904238e-14
102,pv,2,79.99999999999991
103,pv,1,79.99999999999909
103,pv,2,79.99999999999991
104,pv,1,2.404920102399308e-14
104,pv,2,79.9999999999999
105,pv,1,79.99999999999926
105,pv,2,79.99999999999993
106,pv,1,2.8092558142828546e-14
106,pv,2,79.99999999999915
107,pv,1,79.99999999999264
107,pv,2,79.99999999999427
108,pv,1,1.478724281058541e-12
108,pv,2,79.99999999998457
109,pv,1,79.99999999999511
109,pv,2,79.99999999999841
110,pv,1,1.4735674612244777e-12
110,pv,2,79.9999999999849
111,pv,1,79.99999999512211
111,pv,2,79.99999999965722
112,pv,1,1.5049245181633262e-12
112,pv,2,79.99999999998101
113,pv,1,79.99999999533303
113,pv,2,79.99999999993805
114,pv,1,1.5601899349347603e-12
114,pv,2,79.99999999998215
115,pv,1,79.99999999516385
115,pv,2,79.9999999999734
116,pv,1,1.6052933692072051e-12
116,pv,2,79.9999999999809
117,pv,1,79.99999999446287
117,pv,2,79.99999999997964
118,pv,1,1.6483251205354903e-12
118,pv,2,79.99999999998005
119,pv,1,79.9999999932265
119,pv,2,79.99999999998312
120,pv,1,1.6199033877591542e-12
120,pv,2,79.99999999998167
121,pv,1,79.9999999915179
121,pv,2,79.9999999999847
122,pv,1,1.6094363860499148e-12
122,pv,2,79.9999999999827
123,pv,1,79.99999998884755
123,pv,2,79.99999999998485
124,pv,1,1.6055474927967302e-12
124,pv,2,79.9999999999838
125,pv,1,79.99999998449917
125,pv,2,79.99999999998379
126,pv,1,1.614907326783986e-12
126,pv,2,79.99999999998528
127,pv,1,79.9999999730656
127,pv,2,79.99999999997814
128,pv,1,1.6445558629877034e-15
128,pv,2,79.99999999999999
129,pv,1,79.99999999996774
129,pv,2,79.99999999999999
130,pv,1,1.6825418158870421e-15
130,pv,2,79.99999999999999
131,pv,1,79.99999999997505
131,pv,2,79.99999999999997
132,pv,1,1.7314258588425341e-15
132,pv,2,79.99999999999999
133,pv,1,79.99999999995775
133,pv,2,79.99999999999996
134,pv,1,2.0097137225234116e-15
134,pv,2,79.99999999999999
135,pv,1,79.99999999993234
135,pv,2,79.99999999999991
136,pv,1,2.455201171030493e-15
136,pv,2,79.99999999999999
137,pv,1,79.9999999999001
137,pv,2,79.99999999999987
138,pv,1,3.0376861421646806e-15
138,pv,2,79.99999999999999
139,pv,1,79.99999999985923
139,pv,2,79.99999999999982
140,pv,1,3.813821755930467e-15
140,pv,2,79.99999999999999
141,pv,1,79.99999999980892
141,pv,2,79.99999999999973
142,pv,1,4.658812134575015e-15
142,pv,2,79.99999999999997
143,pv,1,79.99999999975027
143,pv,2,79.99999999999963
144,pv,1,5.9902237666831845e-15
144,pv,2,79.99999999999997
145,pv,1,79.99999999968495
145,pv,2,79.99999999999952
146,pv,1,7.594733288245e-15
146,pv,2,79.99999999999996
147,pv,1,79.99999999962255
147,pv,2,79.99999999999937
148,pv,1,9.506014976004158e-15
148,pv,2,79.99999999999996
149,pv,1,79.99999999950178
149,pv,2,79.99999999999841
150,pv,1,1.1740345934783629e-14
150,pv,2,79.99999999999994
151,pv,1,79.99999999938136
151,pv,2,79.99999999999568
152,pv,1,1.4307296149815363e-14
152,pv,2,79.99999999999994
153,pv,1,79.99999999999925
153,pv,2,79.99999999999999
154,pv,1,1.7207493570005874e-14
154,pv,2,79.99999999999993
155,pv,1,79.99999999999677
155,pv,2,79.9999999999997
156,pv,1,2.043331324986471e-14
156,pv,2,79.99999999999991
157,pv,1,79.99999999999922
157,pv,2,79.99999999999993
158,pv,1,2.3969439366582758e-14
158,pv,2,79.9999999999999
159,pv,1,79.99999999999915
159,pv,2,79.99999999999993
160,pv,1,2.7979301307047602e-14
160,pv,2,79.99999999999915
161,pv,1,79.99999999999265
161,pv,2,79.9999999999943
162,pv,1,1.4787108684305808e-12
162,pv,2,79.99999999998455
163,pv,1,79.99999999999511
163,pv,2,79.99999999999841
164,pv,1,1.4735864289604446e-12
164,pv,2,79.99999999998488
165,pv,1,79.99999999512912
165,pv,2,79.99999999965908
166,pv,1,1.5049695858162508e-12
166,pv,2,79.999999999981
167,pv,1,79.9999999953378
167,pv,2,79.99999999993824
168,pv,1,1.5602783487526437e-12
168,pv,2,79.99999999998215
169,pv,1,79.99999999516767
169,pv,2,79.99999999997343
170,pv,1,1.605342794252382e-12
170,pv,2,79.99999999998089
171,pv,1,79.99999999446648
171,pv,2,79.99999999997966
172,pv,1,1.6481338777038385e-12
172,pv,2,79.99999999998005
173,pv,1,79.99999999322978
173,pv,2,79.99999999998313
174,pv,1,1.6197724553523169e-12
174,pv,2,79.99999999998167
175,pv,1,79.99999999152004
175,pv,2,79.99999999998471
176,pv,1,1.6093559683903507e-12
176,pv,2,79.9999999999827
177,pv,1,79.99999998884768
177,pv,2,79.99999999998485
178,pv,1,1.6054994936210914e-12
178,pv,2,79.9999999999838
179,pv,1,79.99999998449667
179,pv,2,79.99999999998379
180,pv,1,1.6148882390954565e-12
180,pv,2,79.99999999998529
181,pv,1,79.99999997305693
181,pv,2,79.99999999997814
182,pv,1,1.6445577132283672e-15
182,pv,2,79.99999999999999
183,pv,1,79.99999999996773
183,pv,2,79.99999999999999
184,pv,1,1.682563405809132e-15
184,pv,2,79.99999999999999
185,pv,1,79.99999999997503
185,pv,2,79.99999999999997
186,pv,1,1.731465680070288e-15
186,pv,2,79.99999999999999
187,pv,1,79.99999999995774
187,pv,2,79.99999999999996
188,pv,1,2.0100654207787256e-15
188,pv,2,79.99999999999999
189,pv,1,79.99999999993231
189,pv,2,79.99999999999991
190,pv,1,2.4557100656998693e-15
190,pv,2,79.99999999999999
191,pv,1,79.99999999990006
191,pv,2,79.99999999999987
192,pv,1,3.0383880214536013e-15
192,pv,2,79.99999999999999
193,pv,1,79.99999999985917
193,pv,2,79.99999999999982
194,pv,1,3.815057482971724e-15
194,pv,2,79.99999999999999
195,pv,1,79.99999999980886
195,pv,2,79.99999999999973
196,pv,1,4.660185548382667e-15
196,pv,2,79.99999999999997
197,pv,1,79.9999999997502
197,pv,2,79.99999999999963
198,pv,1,5.991942896708439e-15
198,pv,2,79.99999999999997
199,pv,1,79.99999999968486
199,pv,2,79.99999999999952
200,pv,1,7.596831829421113e-15
200,pv,2,79.99999999999996
201,pv,1,79.99999999962247
201,pv,2,79.99999999999937
202,pv,1,9.50852018357123e-15
202,pv,2,79.99999999999996
203,pv,1,79.99999999950165
203,pv,2,79.99999999999841
204,pv,1,1.1743276256761173e-14
204,pv,2,79.99999999999994
205,pv,1,79.99999999938119
205,pv,2,79.99999999999567
206,pv,1,1.431065858049044e-14
206,pv,2,79.99999999999994
207,pv,1,79.99999999999925
207,pv,2,79.99999999999999
208,pv,1,1.721128401771343e-14
208,pv,2,79.99999999999993
209,pv,1,79.99999999999676
209,pv,2,79.9999999999997
