iteration,dual,timestep,line,value
160,lambda,2,,-32.193237347620766
161,lambda,1,,-48.32419896507519
161,lambda,2,,-25.46216583947586
162,lambda,1,,29.884776102381217
162,lambda,2,,-29.622045722148812
163,lambda,1,,-48.32419896508062
163,lambda,2,,-24.333619169430108
164,lambda,1,,29.88477610238059
164,lambda,2,,-29.530595419564605
165,lambda,1,,-48.32419896508163
165,lambda,2,,-25.424027214538597
166,lambda,1,,29.884776099975788
166,lambda,2,,-30.30949541684936
167,lambda,1,,-48.3241989661659
167,lambda,2,,-26.466825436631154
168,lambda,1,,29.884776098997015
168,lambda,2,,-30.64611903240575
169,lambda,1,,-48.3241989669008
169,lambda,2,,-26.996688180380374
170,lambda,1,,29.88477609853306
170,lambda,2,,-30.739644378609057
171,lambda,1,,-48.32419896733534
171,lambda,2,,-27.395055139287535
172,lambda,1,,29.884776097936204
172,lambda,2,,-30.892611554883274
173,lambda,1,,-48.32419896774284
173,lambda,2,,-27.80809016718348
174,lambda,1,,29.884776097033402
174,lambda,2,,-31.403938494182512
175,lambda,1,,-48.324198968272974
175,lambda,2,,-28.314767151265414
176,lambda,1,,29.884776095770043
176,lambda,2,,-31.824775884027588
177,lambda,1,,-48.324198968997344
177,lambda,2,,-28.63167188922563
178,lambda,1,,29.884776093872595
178,lambda,2,,-32.053825589610426
179,lambda,1,,-48.32419897006296
179,lambda,2,,-28.801577634713055
180,lambda,1,,29.884776090858786
180,lambda,2,,-32.188683263300334
181,lambda,1,,-48.324198971729466
181,lambda,2,,-28.915320179412447
182,lambda,1,,29.884776083813243
182,lambda,2,,-32.2864221809225
183,lambda,1,,-48.32419897538576
183,lambda,2,,-28.997488040629037
184,lambda,1,,29.884776094220264
184,lambda,2,,-32.35239562567534
185,lambda,1,,-48.32419897172871
185,lambda,2,,-29.047500764385745
186,lambda,1,,29.884776098383874
186,lambda,2,,-32.387893147701334
187,lambda,1,,-48.32419896895512
187,lambda,2,,-29.070665676232636
188,lambda,1,,29.884776100208263
188,lambda,2,,-32.401012563129484
