iteration,storage,timestep,charge,discharge
86,battery,1,9.999999999997272,2.559174747213796e-12
86,battery,2,3.651851775001643e-12,9.999999999995994
87,battery,1,9.999999999997325,2.513525779054119e-12
87,battery,2,3.5911636794066734e-12,9.999999999996067
88,battery,1,9.99999999999733,2.5090671562531614e-12
88,battery,2,3.5885317486985392e-12,9.999999999996076
89,battery,1,9.999999999997017,2.8052678420377095e-12
89,battery,2,4.010657547347769e-12,9.999999999995618
90,battery,1,9.99999999999549,4.247856606378876e-12
90,battery,2,6.085047649607649e-12,9.999999999993362
91,battery,1,9.999999999999993,6.009171387485191e-15
91,battery,2,8.621006358357018e-15,9.999999999999991
92,battery,1,9.999999999999991,7.778949018972672e-15
92,battery,2,1.1178574270954536e-14,9.999999999999988
93,battery,1,9.999999999999991,8.874142537694828e-15
93,battery,2,1.2807013532304961e-14,9.999999999999986
94,battery,1,9.999999999999991,9.236660760449028e-15
94,battery,2,1.336186910361075e-14,9.999999999999986
95,battery,1,9.999999999999991,8.635318129846554e-15
95,battery,2,1.2506917638290212e-14,9.999999999999986
96,battery,1,9.999999999999993,7.3940129832701e-15
96,battery,2,1.0724615857351235e-14,9.99999999999999
97,battery,1,9.999999999999995,5.8042237512552e-15
97,battery,2,8.427090411883087e-15,9.999999999999991
98,battery,1,9.999999999995612,4.1915361227724425e-12
98,battery,2,6.08890985916364e-12,9.999999999993486
99,battery,1,9.99999999999704,2.826789027524751e-12
99,battery,2,4.106940256360556e-12,9.999999999995607
100,battery,1,9.99999999999809,1.823936465933569e-12
100,battery,2,2.6495492578536034e-12,9.999999999997167
101,battery,1,9.999999999998371,1.5559989822406032e-12
101,battery,2,2.261803027792171e-12,9.99999999999758
102,battery,1,9.999999999998415,1.5137451787203976e-12
102,battery,2,2.2011386846599526e-12,9.999999999997646
103,battery,1,9.999999999998446,1.4860440369500322e-12
103,battery,2,2.160518614153349e-12,9.99999999999769
104,battery,1,9.999999999998444,1.4883876217889706e-12
104,battery,2,2.164091778383456e-12,9.999999999997687
105,battery,1,9.999999999998426,1.504448750948814e-12
105,battery,2,2.187553553398768e-12,9.999999999997664
106,battery,1,9.999999999998396,1.5351535468723825e-12
106,battery,2,2.2331467801077237e-12,9.999999999997618
107,battery,1,9.999999999998334,1.5962409731567688e-12
107,battery,2,2.3220183835819125e-12,9.999999999997526
108,battery,1,9.999999999998142,1.7807868051019154e-12
108,battery,2,2.5877894660780415e-12,9.999999999997243
109,battery,1,9.99999999999648,3.3749685901667767e-12
109,battery,2,4.9069748585823115e-12,9.999999999994778
110,battery,1,9.999999999999995,4.434057366159402e-15
110,battery,2,6.44825641620902e-15,9.999999999999993
111,battery,1,9.999999999999995,5.430661069086882e-15
