iteration,storage,timestep,charge,discharge
64,battery,1,9.99999999999991,1.1278859146433696e-13
64,battery,2,1.0542092679936249e-13,9.99999999999988
65,battery,1,9.999999999999906,1.157272459591734e-13
65,battery,2,1.0847895645238618e-13,9.999999999999876
66,battery,1,9.999999999999904,1.1873313006617109e-13
66,battery,2,1.1152691309698274e-13,9.999999999999872
67,battery,1,9.9999999999999,1.2176291492895745e-13
67,battery,2,1.1461278707815975e-13,9.999999999999869
68,battery,1,9.999999999999899,1.2481573746205978e-13
68,battery,2,1.1773261190016767e-13,9.999999999999865
69,battery,1,9.999999999999895,1.2799386246358987e-13
69,battery,2,1.2077493838632455e-13,9.999999999999861
70,battery,1,9.999999999999893,1.3117152130386683e-13
70,battery,2,1.2396875125105293e-13,9.999999999999858
71,battery,1,9.99999999999989,1.3411574442512883e-13
71,battery,2,1.2732185622682881e-13,9.999999999999854
72,battery,1,9.999999999999893,1.2707315189374195e-13
72,battery,2,1.2242103542312153e-13,9.999999999999861
73,battery,1,9.99999999999989,1.3035887598198458e-13
73,battery,2,1.2548347961574695e-13,9.999999999999858
74,battery,1,9.999999999999888,1.3313450647761304e-13
74,battery,2,1.288358701013182e-13,9.999999999999853
75,battery,1,9.999999999999885,1.362380942579791e-13
75,battery,2,1.3215073200251405e-13,9.999999999999849
76,battery,1,9.999999999999883,1.3897401897544697e-13
76,battery,2,1.3610845723529048e-13,9.999999999999845
77,battery,1,9.999999999999881,1.4124866403780516e-13
77,battery,2,1.408577147219535e-13,9.99999999999984
78,battery,1,9.999999999999877,1.434724706413925e-13
78,battery,2,1.4600592958061742e-13,9.999999999999835
79,battery,1,9.999999999999876,1.4570829706702598e-13
79,battery,2,1.5169466347120657e-13,9.999999999999828
80,battery,1,9.999999999999874,1.4911776390341046e-13
80,battery,2,1.5641766725707584e-13,9.999999999999822
81,battery,1,9.999999999999865,1.5369640099297417e-13
81,battery,2,1.6955589551859716e-13,9.999999999999812
82,battery,1,9.999999999999847,1.5737250172168072e-13
82,battery,2,1.864533920961368e-13,9.999999999999792
83,battery,1,9.99999999999983,1.7490304227839433e-13
83,battery,2,2.1185772636851597e-13,9.999999999999766
84,battery,1,9.99999999999981,1.9469179697166803e-13
84,battery,2,2.316097539272814e-13,9.999999999999744
85,battery,1,9.999999999999787,2.1669487750862508e-13
85,battery,2,2.580294997966662e-13,9.999999999999714
86,battery,1,9.999999999999767,2.372442694024142e-13
86,battery,2,2.8766293416444435e-13,9.999999999999682
87,battery,1,9.99999999999974,2.6275056437396333e-13
87,battery,2,3.181362378545591e-13,9.999999999999648
88,battery,1,9.999999999999714,2.893690552909209e-13
88,battery,2,3.522252102157929e-13,9.999999999999611
89,battery,1,9.999999999999687,3.1661460203944857e-13
89,battery,2,3.9676454904918317e-13,9.999999999999563
90,battery,1,9.999999999999655,3.4755995846203117e-13
90,battery,2,4.310527566278241e-13,9.999999999999526
91,battery,1,9.999999999999622,3.8077636313041325e-13
91,battery,2,4.744548393202621e-13,9.999999999999478
92,battery,1,9.999999999999584,4.1730832402174887e-13
92,battery,2,5.197284673998138e-13,9.99999999999943
93,battery,1,9.999999999999547,4.55145753392948e-13
93,battery,2,5.706071374738239e-13,9.999999999999373
94,battery,1,9.999999999999506,4.95907990709561e-13
94,battery,2,6.246407055260581e-13,9.999999999999314
95,battery,1,9.999999999999462,5.397712474214399e-13
95,battery,2,6.818124183042311e-13,9.999999999999252
96,battery,1,9.999999999999414,5.854496814131369e-13
96,battery,2,7.446249960193643e-13,9.999999999999185
97,battery,1,9.99999999999943,5.652607441516428e-13
97,battery,2,7.231109716521241e-13,9.999999999999208
98,battery,1,9.999999999999382,6.127462437160822e-13
98,battery,2,7.872523007449779e-13,9.999999999999138
99,battery,1,9.99999999999933,6.635565203070858e-13
99,battery,2,8.546637866231838e-13,9.999999999999066
100,battery,1,9.999999999999273,7.178271536170471e-13
100,battery,2,9.253233345078961e-13,9.99999999999899
101,battery,1,9.999999999999217,7.733666646769799e-13
101,battery,2,1.00326675683015e-12,9.999999999998904
102,battery,1,9.999999999999156,8.323346946789982e-13
102,battery,2,1.0848863041494006e-12,9.999999999998817
103,battery,1,9.999999999999092,8.960424660145265e-13
103,battery,2,1.1679951838818045e-12,9.999999999998726
104,battery,1,9.999999999999025,9.61255032446854e-13
104,battery,2,1.2583991544027907e-12,9.999999999998629
105,battery,1,9.999999999998956,1.0295457032450567e-12
105,battery,2,1.3533907031512962e-12,9.999999999998526
106,battery,1,9.99999999999888,1.103663890011109e-12
106,battery,2,1.4480980109247354e-12,9.999999999998423
107,battery,1,9.999999999998803,1.1768845865954679e-12
107,battery,2,1.554471005224537e-12,9.999999999998309
108,battery,1,9.999999999998723,1.2553167318347229e-12
108,battery,2,1.6615678280002488e-12,9.999999999998192
109,battery,1,9.999999999998638,1.3381424475195931e-12
109,battery,2,1.7707171520041095e-12,9.999999999998074
110,battery,1,9.999999999998552,1.4216158300660658e-12
110,battery,2,1.8884710462142017e-12,9.999999999997947
111,battery,1,9.999999999998462,1.508949063825318e-12
111,battery,2,2.008852375322874e-12,9.999999999997817
112,battery,1,9.99999999999837,1.599769849185829e-12
112,battery,2,2.1322418312892877e-12,9.999999999997684
113,battery,1,9.999999999998273,1.6925272757684592e-12
113,battery,2,2.261087077781875e-12,9.999999999997545
114,battery,1,9.999999999998174,1.788646396721258e-12
114,battery,2,2.3923943679426576e-12,9.999999999997403
115,battery,1,9.999999999998073,1.8869635684699668e-12
115,battery,2,2.527765430181752e-12,9.999999999997257
116,battery,1,9.999999999997971,1.9866674099322353e-12
116,battery,2,2.6680858070586187e-12,9.999999999997105
117,battery,1,9.999999999997865,2.0900834880563286e-12
117,battery,2,2.8084471518209393e-12,9.999999999996954
118,battery,1,9.999999999997758,2.1938334458986403e-12
118,battery,2,2.954197348230565e-12,9.999999999996795
119,battery,1,9.999999999997648,2.3003818978066e-12
119,battery,2,3.0999423568715137e-12,9.99999999999664
120,battery,1,9.999999999997534,2.4096396589528585e-12
120,battery,2,3.249530035944864e-12,9.999999999996477
121,battery,1,9.99999999999742,2.5209078448493923e-12
121,battery,2,3.4030446681657723e-12,9.999999999996312
122,battery,1,9.999999999997307,2.631548320396219e-12
122,battery,2,3.5622202441741014e-12,9.99999999999614
123,battery,1,9.999999999997188,2.747345722740248e-12
123,battery,2,3.715584177694524e-12,9.999999999995975
124,battery,1,9.99999999999707,2.8607467249884268e-12
124,battery,2,3.875987303886596e-12,9.999999999995802
125,battery,1,9.99999999999695,2.9769322695003924e-12
125,battery,2,4.032847521578406e-12,9.999999999995632
126,battery,1,9.999999999996833,3.091875645949078e-12
126,battery,2,4.1923459822907975e-12,9.999999999995461
127,battery,1,9.999999999996716,3.2053450503648325e-12
127,battery,2,4.352844332838767e-12,9.999999999995287
128,battery,1,9.999999999996598,3.3186906413698953e-12
128,battery,2,4.510693621311926e-12,9.999999999995117
129,battery,1,9.999999999996483,3.4305117831903194e-12
129,battery,2,4.666932640709502e-12,9.999999999994948
130,battery,1,9.99999999999637,3.540945011546347e-12
130,battery,2,4.81941396595472e-12,9.999999999994785
