iteration,dual,timestep,line,value
254,lambda,2,,-30.01320008253848
255,lambda,1,,-30.001330538932635
255,lambda,2,,-30.012987486277517
256,lambda,1,,-30.001310612141836
256,lambda,2,,-30.01277831402823
257,lambda,1,,-30.001290983819462
257,lambda,2,,-30.012572510645633
258,lambda,1,,-30.001271649509437
258,lambda,2,,-30.01237002187239
259,lambda,1,,-30.001252604765476
259,lambda,2,,-30.012170794324856
260,lambda,1,,-30.001233845348892
260,lambda,2,,-30.01197477547845
261,lambda,1,,-30.001215366874224
261,lambda,2,,-30.011781913656193
262,lambda,1,,-30.00119716518116
262,lambda,2,,-30.011592158012718
263,lambda,1,,-30.001179236454803
263,lambda,2,,-30.01140545852178
264,lambda,1,,-30.001161575971132
264,lambda,2,,-30.011221765959853
265,lambda,1,,-30.00114418002578
265,lambda,2,,-30.011041031803508
266,lambda,1,,-30.00112704445061
266,lambda,2,,-30.010863208409354
267,lambda,1,,-30.001110165963368
267,lambda,2,,-30.01068824892649
268,lambda,1,,-30.00109353957948
268,lambda,2,,-30.010516107269382
269,lambda,1,,-30.001077162544505
269,lambda,2,,-30.010346738085
270,lambda,1,,-30.001061030842774
270,lambda,2,,-30.01018009673961
271,lambda,1,,-30.00104514099888
271,lambda,2,,-30.010016139302707
272,lambda,1,,-30.00102948922873
272,lambda,2,,-30.00985482254224
273,lambda,1,,-30.001014071965464
273,lambda,2,,-30.00969610391767
274,lambda,1,,-30.000998885593514
274,lambda,2,,-30.009539941573838
275,lambda,1,,-30.00098392669749
275,lambda,2,,-30.00938629433274
276,lambda,1,,-30.000969191746986
276,lambda,2,,-30.00923512168358
277,lambda,1,,-30.000954677504268
277,lambda,2,,-30.00908638377058
278,lambda,1,,-30.000940380573116
278,lambda,2,,-30.008940041381596
279,lambda,1,,-30.00092629777505
279,lambda,2,,-30.008796055936887
280,lambda,1,,-30.00091242592442
280,lambda,2,,-30.008654389477545
281,lambda,1,,-30.000898761847566
281,lambda,2,,-30.008515004654885
282,lambda,1,,-30.000885302481457
282,lambda,2,,-30.008377864722092
283,lambda,1,,-30.000872044747876
283,lambda,2,,-30.008242933523274
284,lambda,1,,-30.00085898560008
284,lambda,2,,-30.008110175484862
285,lambda,1,,-30.000846122043356
285,lambda,2,,-30.00797955560607
286,lambda,1,,-30.000833451207676
286,lambda,2,,-30.00785103944998
287,lambda,1,,-30.00082096943496
287,lambda,2,,-30.007724593134455
288,lambda,1,,-30.00080867537423
288,lambda,2,,-30.007600183323447
289,lambda,1,,-30.00079656532879
289,lambda,2,,-30.00747777721758
290,lambda,1,,-30.000784636575602
290,lambda,2,,-30.00735734254001
291,lambda,1,,-30.000772886964704
291,lambda,2,,-30.007238847545885
292,lambda,1,,-30.000761313306654
292,lambda,2,,-30.007122260996855
293,lambda,1,,-30.000749913134396
293,lambda,2,,-30.00700755215645
294,lambda,1,,-30.000738683589596
294,lambda,2,,-30.00689469078262
295,lambda,1,,-30.000727622194518
295,lambda,2,,-30.006783647119377
296,lambda,1,,-30.00071672633303
296,lambda,2,,-30.006674391890563
297,lambda,1,,-30.00070599501782
297,lambda,2,,-30.006566896310602
298,lambda,1,,-30.00069542296432
298,lambda,2,,-30.00646113202212
299,lambda,1,,-30.000685009130788
299,lambda,2,,-30.00635707112944
300,lambda,1,,-30.000674750516605
300,lambda,2,,-30.006254686195536
301,lambda,1,,-30.000664645715283
301,lambda,2,,-30.00615395023055
302,lambda,1,,-30.000654696249768
302,lambda,2,,-30.006054836681525
303,lambda,1,,-30.0006447995943
303,lambda,2,,-30.00595731942305
304,lambda,1,,-30.000635142529053
