iteration,generator,timestep,generation
302,pv,2,79.99999999999949
303,pv,1,77.4551061180614
303,pv,2,79.9999999999995
304,pv,1,77.44806267696532
304,pv,2,79.99999999999952
305,pv,1,77.44265412629335
305,pv,2,79.99999999999952
306,pv,1,77.43897598742387
306,pv,2,79.99999999999953
307,pv,1,77.43707332873426
307,pv,2,79.99999999999955
308,pv,1,77.4369414699356
308,pv,2,79.99999999999956
309,pv,1,77.43852782972795
309,pv,2,79.99999999999956
310,pv,1,77.44173488600835
310,pv,2,79.99999999999957
311,pv,1,77.44642420991342
311,pv,2,79.99999999999959
312,pv,1,77.45242148178043
312,pv,2,79.9999999999996
313,pv,1,77.45952234029308
313,pv,2,79.9999999999996
314,pv,1,77.46749887985355
314,pv,2,79.99999999999962
315,pv,1,77.47610659179944
315,pv,2,79.99999999999962
316,pv,1,77.48509153992698
316,pv,2,79.9999999999996
317,pv,1,77.49419756440612
317,pv,2,79.99999999999957
318,pv,1,77.50317331654875
318,pv,2,79.99999999999953
319,pv,1,77.51177893898088
319,pv,2,79.99999999999946
320,pv,1,77.51979222161994
320,pv,2,79.99999999999935
321,pv,1,77.39706783240787
321,pv,2,79.9999999999991
322,pv,1,77.1493474970014
322,pv,2,79.99999999999855
323,pv,1,76.81929656422409
323,pv,2,79.99999999999999
324,pv,1,76.44008790716272
324,pv,2,79.99999999999993
325,pv,1,76.03410013663414
325,pv,2,79.99999999999999
326,pv,1,75.61224349711036
326,pv,2,79.99999999999946
327,pv,1,79.99999999998866
327,pv,2,79.99999999999841
328,pv,1,77.81024148714346
328,pv,2,79.99999999999604
329,pv,1,75.25687193625717
329,pv,2,79.99999999999986
330,pv,1,71.82197047107006
330,pv,2,79.99999999999903
331,pv,1,68.58829340436694
331,pv,2,79.99999999999974
332,pv,1,78.97908024599933
332,pv,2,79.99999999999808
333,pv,1,79.99999999997684
333,pv,2,79.99999999999717
334,pv,1,79.99999999965381
334,pv,2,79.99999999999919
335,pv,1,79.564496880408
335,pv,2,80.0
336,pv,1,79.71561679799775
336,pv,2,79.99999999999999
337,pv,1,79.99999999999898
337,pv,2,79.99999999999997
338,pv,1,79.99999999999774
338,pv,2,79.99999999999953
339,pv,1,79.99999999991799
339,pv,2,79.99999999999056
340,pv,1,79.63155454978859
340,pv,2,80.0
